,Fecha,Delegacion,Combustible,Precio
124,30-07-2023,la-magdalena-contreras,Premium,24.94
125,30-07-2023,la-magdalena-contreras,Diesel,22.95
126,30-07-2023,miguel-hidalgo,Magna,22.47
127,30-07-2023,miguel-hidalgo,Premium,24.92
128,30-07-2023,miguel-hidalgo,Diesel,23.99
129,30-07-2023,milpa-alta,Magna,22.89
130,30-07-2023,milpa-alta,Premium,24.89
131,30-07-2023,milpa-alta,Diesel,
132,30-07-2023,tlahuac,Magna,22.02
133,30-07-2023,tlahuac,Premium,24.0
134,30-07-2023,tlahuac,Diesel,22.85
135,30-07-2023,tlalpan,Magna,22.06
136,30-07-2023,tlalpan,Premium,24.36
137,30-07-2023,tlalpan,Diesel,23.74
138,30-07-2023,venustiano-carranza,Magna,21.99
139,30-07-2023,venustiano-carranza,Premium,24.83
140,30-07-2023,venustiano-carranza,Diesel,23.97
141,30-07-2023,xochimilco,Magna,22.78
142,30-07-2023,xochimilco,Premium,24.84
143,30-07-2023,xochimilco,Diesel,23.62
144,31-07-2023,alvaro-obregon,Magna,23.11
145,31-07-2023,alvaro-obregon,Premium,25.59
146,31-07-2023,alvaro-obregon,Diesel,23.19
147,31-07-2023,azcapotzalco,Magna,22.17
148,31-07-2023,azcapotzalco,Premium,24.98
149,31-07-2023,azcapotzalco,Diesel,23.58
150,31-07-2023,benito-juarez,Magna,21.89
151,31-07-2023,benito-juarez,Premium,24.4
152,31-07-2023,benito-juarez,Diesel,23.24
153,31-07-2023,coyoacan,Magna,22.46
154,31-07-2023,coyoacan,Premium,24.82
155,31-07-2023,coyoacan,Diesel,23.88
156,31-07-2023,cuajimalpa-de-morelos,Magna,22.56
157,31-07-2023,cuajimalpa-de-morelos,Premium,24.97
158,31-07-2023,cuajimalpa-de-morelos,Diesel,23.28
159,31-07-2023,cuauhtemoc,Magna,22.46
160,31-07-2023,cuauhtemoc,Premium,24.99
161,31-07-2023,cuauhtemoc,Diesel,23.93
162,31-07-2023,gustavo-a-madero,Magna,22.26
163,31-07-2023,gustavo-a-madero,Premium,24.58
164,31-07-2023,gustavo-a-madero,Diesel,23.34
165,31-07-2023,iztacalco,Magna,21.41
166,31-07-2023,iztacalco,Premium,23.66
167,31-07-2023,iztacalco,Diesel,22.37
168,31-07-2023,iztapalapa,Magna,22.18
169,31-07-2023,iztapalapa,Premium,24.72
170,31-07-2023,iztapalapa,Diesel,23.57
171,31-07-2023,la-magdalena-contreras,Magna,22.76
172,31-07-2023,la-magdalena-contreras,Premium,24.94
173,31-07-2023,la-magdalena-contreras,Diesel,22.95
